id,title,story_points,risk_exposure,risk_count,normalized_risk,avg_risk,risk_density,combined_score,priority_score,priority
54,Data Pipeline Foundation,8,11,3,0.733,3.667,1.375,88,11.0,4
45,Project Refactor & Structure,8,8,2,0.8,4.0,1.0,64,8.0,4
56,Time Series Generation,5,11,3,0.733,3.667,2.2,55,11.0,3
64,Extensibility (Region Picker & Multi-Source Support),5,11,3,0.733,3.667,2.2,55,11.0,2
47,Animation Pipeline,5,8,2,0.8,4.0,1.6,40,8.0,2
55,Geospatial Processing & Region Masking,5,8,2,0.8,4.0,1.6,40,8.0,4
70,Network Graph (Milestones ↔ Risks),5,8,2,0.8,4.0,1.6,40,8.0,1
37,Showcase MVP,5,7,2,0.7,3.5,1.4,35,7.0,4
46,Deterministic Plot Generation,5,7,2,0.7,3.5,1.4,35,7.0,3
57,Visualization Layer,5,7,2,0.7,3.5,1.4,35,7.0,3
66,Milestone-Risk Aggregation,5,7,2,0.7,3.5,1.4,35,7.0,3
69,D3 Integration in Showcase,5,7,2,0.7,3.5,1.4,35,7.0,3
40,Freelance Ready,3,11,3,0.733,3.667,3.667,33,11.0,3
38,Content & Interpretation,8,4,1,0.8,4.0,0.5,32,4.0,3
67,Effort vs Risk Analysis,3,8,2,0.8,4.0,2.667,24,8.0,2
68,Visualization Concepts,3,8,2,0.8,4.0,2.667,24,8.0,2
49,Showcase Integration,3,7,2,0.7,3.5,2.333,21,7.0,3
58,Showcase Integration,3,7,2,0.7,3.5,2.333,21,7.0,3
48,Scientific Documentation,3,6,2,0.6,3.0,2.0,18,6.0,3
39,UI/UX & Visual Polish,5,3,1,0.6,3.0,0.6,15,3.0,2
65,Data Extraction & Cleaning,3,3,1,0.6,3.0,1.0,9,3.0,3
