Work packages,,,,,,,,Relations,,,,,,,,,,
,ID,Subject,Type,Status,Assignee,Priority,Story Points,Description,,Relation type,Lag,Description,ID,Subject,Type,Status,Assignee,Probability
,37,Showcase MVP,Milestone,New,,Very High,5,Initial functional version of the showcase with all projects integrated and a consistent structure.,,Related To,,"This risk impacts the Showcase MVP by preventing reliable reproduction of results, which undermines the functional completeness of the showcase.",43,Missing reproducibility,Risk,New,,High
,37,Showcase MVP,Milestone,New,,Very High,5,Initial functional version of the showcase with all projects integrated and a consistent structure.,,Related To,,This risk affects the Showcase MVP by complicating integration and reducing structural coherence across projects.,44,Fragmented project structure,Risk,New,,Intermediate
,38,Content & Interpretation,Milestone,New,,High,8,"Improve scientific depth, explanations, and narrative clarity across all showcase elements.",,Related To,,This risk directly affects the Content & Interpretation milestone by limiting the ability to convey meaningful insights from the visualizations.,41,Lack of narrative clarity,Risk,New,,High
,39,UI/UX & Visual Polish,Milestone,New,,Intermediate,5,"Enhance usability, consistency, and responsiveness for a professional presentation.",,Related To,,This risk affects the UI/UX & Visual Polish milestone by reducing visual consistency and overall user experience quality.,42,Inconsistent UI across projects,Risk,New,,Intermediate
,40,Freelance Ready,Milestone,New,,High,3,Prepare the showcase for professional positioning and client-facing presentation.,,Related To,,"This risk affects the Freelance Ready milestone by reducing credibility and trust, as results cannot be independently verified.",43,Missing reproducibility,Risk,New,,High
,40,Freelance Ready,Milestone,New,,High,3,Prepare the showcase for professional positioning and client-facing presentation.,,Related To,,This risk impacts the Freelance Ready milestone by weakening the communication of skills and reducing overall project clarity for potential clients.,41,Lack of narrative clarity,Risk,New,,High
,40,Freelance Ready,Milestone,New,,High,3,Prepare the showcase for professional positioning and client-facing presentation.,,Related To,,This risk impacts the Freelance Ready milestone by lowering perceived professionalism and presentation quality.,42,Inconsistent UI across projects,Risk,New,,Intermediate
,45,Project Refactor & Structure,Milestone,New,,Very High,8,"Refactor the current prototype into a modular Python project with clear separation of concerns (physics model, numerical methods, visualization). Establish a maintainable architecture as the foundation for all further work.",,Related To,,Architectural decisions may not scale well later on and Breaking changes for existing outputs,51,Technical Complexity Risk,Risk,New,,High
,45,Project Refactor & Structure,Milestone,New,,Very High,8,"Refactor the current prototype into a modular Python project with clear separation of concerns (physics model, numerical methods, visualization). Establish a maintainable architecture as the foundation for all further work.",,Related To,,Refactoring may take longer than expected and Breaking changes for existing outputs,53,Time Scope Risk,Risk,New,,High
,46,Deterministic Plot Generation,Milestone,New,,High,5,Implement reproducible 1D and 2D plots with fixed parameter sets and stable defaults. Ensure outputs are deterministic and suitable for reuse in the showcase.,,Related To,,Inconsistent results across different systems,50,Scientific Validity Risk,Risk,New,,Intermediate
